% f_log(GV/m) T(K) deltaE(eV)
-9.17071028 1861.5 4.80859015
-9.17071028 1867.6 4.80962769
-9.17071028 1873.6 4.81066523
-9.17071028 1879.6 4.81170277
-9.17071028 1885.6 4.81274031
-9.17071028 1891.6 4.81377785
-9.17071028 1897.7 4.81481538
-9.17071028 1903.7 4.81585292
-9.17071028 1909.7 4.81689046
-9.17071028 1915.7 4.81792800
-9.17071028 1921.7 4.81896554
-9.17071028 1927.8 4.82000308
-9.17071028 1933.8 4.82104062
-9.17071028 1939.8 4.82207816
-9.17071028 1945.8 4.82311569
-9.17071028 1951.8 4.82415323
-9.17071028 1957.9 4.82519077
-9.17071028 1963.9 4.82622831
-9.17071028 1969.9 4.82726585
-9.17071028 1975.9 4.82830339
-9.17071028 1981.9 4.82934093
-9.17071028 1988.0 4.83037847
-9.17071028 1994.0 4.83141600
-9.17071028 2000.0 4.83245354
-9.13108019 200.0 4.52198140
-9.13108019 206.0 4.52301904
-9.13108019 212.0 4.52405667
-9.13108019 218.1 4.52509430
-9.13108019 224.1 4.52613192
-9.13108019 230.1 4.52716954
-9.13108019 236.1 4.52820716
-9.13108019 242.1 4.52924477
-9.13108019 248.2 4.53028237
-9.13108019 254.2 4.53131998
-9.13108019 260.2 4.53235758
-9.13108019 266.2 4.53339517
-9.13108019 272.2 4.53443277
-9.13108019 278.3 4.53547036
-9.13108019 284.3 4.53650795
-9.13108019 290.3 4.53754554
-9.13108019 296.3 4.53858313
-9.13108019 302.3 4.53962071
-9.13108019 308.4 4.54065829
-9.13108019 314.4 4.54169587
-9.13108019 320.4 4.54273345
-9.13108019 326.4 4.54377103
-9.13108019 332.4 4.54480860
-9.13108019 338.5 4.54584618
-9.13108019 344.5 4.54688375
-9.13108019 350.5 4.54792132
-9.13108019 356.5 4.54895889
-9.13108019 362.5 4.54999647
-9.13108019 368.6 4.55103404
-9.13108019 374.6 4.55207161
-9.13108019 380.6 4.55310918
-9.13108019 386.6 4.55414675
-9.13108019 392.6 4.55518432
-9.13108019 398.7 4.55622190
-9.13108019 404.7 4.55725947
-9.13108019 410.7 4.55829705
-9.13108019 416.7 4.55933463
-9.13108019 422.7 4.56037221
-9.13108019 428.8 4.56140980
-9.13108019 434.8 4.56244739
-9.13108019 440.8 4.56348498
-9.13108019 446.8 4.56452258
-9.13108019 452.8 4.56556018
-9.13108019 458.9 4.56659778
-9.13108019 464.9 4.56763539
-9.13108019 470.9 4.56867301
-9.13108019 476.9 4.56971062
-9.13108019 482.9 4.57074825
-9.13108019 489.0 4.57178588
-9.13108019 495.0 4.57282351
-9.13108019 501.0 4.57386115
-9.13108019 507.0 4.57489880
-9.13108019 513.0 4.57593645
-9.13108019 519.1 4.57697410
-9.13108019 525.1 4.57801176
-9.13108019 531.1 4.57904942
-9.13108019 537.1 4.58008709
-9.13108019 543.1 4.58112476
-9.13108019 549.2 4.58216243
-9.13108019 555.2 4.58320010
-9.13108019 561.2 4.58423777
-9.13108019 567.2 4.58527544
-9.13108019 573.2 4.58631311
-9.13108019 579.3 4.58735078
-9.13108019 585.3 4.58838845
-9.13108019 591.3 4.58942612
-9.13108019 597.3 4.59046378
-9.13108019 603.3 4.59150144
-9.13108019 609.4 4.59253909
-9.13108019 615.4 4.59357673
-9.13108019 621.4 4.59461437
-9.13108019 627.4 4.59565200
-9.13108019 633.4 4.59668963
-9.13108019 639.5 4.59772724
-9.13108019 645.5 4.59876485
-9.13108019 651.5 4.59980244
-9.13108019 657.5 4.60084002
-9.13108019 663.5 4.60187759
-9.13108019 669.6 4.60291515
-9.13108019 675.6 4.60395270
-9.13108019 681.6 4.60499023
-9.13108019 687.6 4.60602775
-9.13108019 693.6 4.60706526
-9.13108019 699.7 4.60810276
-9.13108019 705.7 4.60914024
-9.13108019 711.7 4.61017770
-9.13108019 717.7 4.61121516
-9.13108019 723.7 4.61225260
-9.13108019 729.8 4.61329002
-9.13108019 735.8 4.61432743
-9.13108019 741.8 4.61536483
-9.13108019 747.8 4.61640222
-9.13108019 753.8 4.61743959
-9.13108019 759.9 4.61847696
-9.13108019 765.9 4.61951431
-9.13108019 771.9 4.62055165
-9.13108019 777.9 4.62158897
-9.13108019 783.9 4.62262629
-9.13108019 790.0 4.62366360
-9.13108019 796.0 4.62470090
-9.13108019 802.0 4.62573819
-9.13108019 808.0 4.62677548
-9.13108019 814.0 4.62781276
-9.13108019 820.1 4.62885003
-9.13108019 826.1 4.62988729
-9.13108019 832.1 4.63092456
-9.13108019 838.1 4.63196181
-9.13108019 844.1 4.63299907
-9.13108019 850.2 4.63403632
-9.13108019 856.2 4.63507357
-9.13108019 862.2 4.63611082
-9.13108019 868.2 4.63714807
-9.13108019 874.2 4.63818532
-9.13108019 880.3 4.63922257
-9.13108019 886.3 4.64025983
-9.13108019 892.3 4.64129708
-9.13108019 898.3 4.64233434
-9.13108019 904.3 4.64337161
-9.13108019 910.4 4.64440888
-9.13108019 916.4 4.64544615
-9.13108019 922.4 4.64648343
-9.13108019 928.4 4.64752072
-9.13108019 934.4 4.64855801
-9.13108019 940.5 4.64959531
-9.13108019 946.5 4.65063262
-9.13108019 952.5 4.65166993
-9.13108019 958.5 4.65270726
-9.13108019 964.5 4.65374459
-9.13108019 970.6 4.65478194
-9.13108019 976.6 4.65581929
-9.13108019 982.6 4.65685665
-9.13108019 988.6 4.65789403
-9.13108019 994.6 4.65893141
-9.13108019 1000.7 4.65996881
-9.13108019 1006.7 4.66100621
-9.13108019 1012.7 4.66204363
-9.13108019 1018.7 4.66308105
-9.13108019 1024.7 4.66411849
-9.13108019 1030.8 4.66515594
-9.13108019 1036.8 4.66619340
-9.13108019 1042.8 4.66723087
-9.13108019 1048.8 4.66826836
-9.13108019 1054.8 4.66930585
-9.13108019 1060.9 4.67034335
-9.13108019 1066.9 4.67138087
-9.13108019 1072.9 4.67241839
-9.13108019 1078.9 4.67345593
-9.13108019 1084.9 4.67449348
-9.13108019 1091.0 4.67553103
-9.13108019 1097.0 4.67656860
-9.13108019 1103.0 4.67760618
-9.13108019 1109.0 4.67864376
-9.13108019 1115.1 4.67968136
-9.13108019 1121.1 4.68071896
-9.13108019 1127.1 4.68175658
-9.13108019 1133.1 4.68279420
-9.13108019 1139.1 4.68383183
-9.13108019 1145.2 4.68486947
-9.13108019 1151.2 4.68590712
-9.13108019 1157.2 4.68696664
-9.13108019 1163.2 4.68800612
-9.13108019 1169.2 4.68904555
-9.13108019 1175.3 4.69008494
-9.13108019 1181.3 4.69112427
-9.13108019 1187.3 4.69216355
-9.13108019 1193.3 4.69317829
-9.13108019 1199.3 4.69421558
-9.13108019 1205.4 4.69525312
-9.13108019 1211.4 4.69629066
-9.13108019 1217.4 4.69732820
-9.13108019 1223.4 4.69836574
-9.13108019 1229.4 4.69940328
-9.13108019 1235.5 4.70044082
-9.13108019 1241.5 4.70147836
-9.13108019 1247.5 4.70251590
-9.13108019 1253.5 4.70355345
-9.13108019 1259.5 4.70459099
-9.13108019 1265.6 4.70562853
-9.13108019 1271.6 4.70666607
-9.13108019 1277.6 4.70770361
-9.13108019 1283.6 4.70873783
-9.13108019 1289.6 4.70977540
-9.13108019 1295.7 4.71081297
-9.13108019 1301.7 4.71185054
-9.13108019 1307.7 4.71288811
-9.13108019 1313.7 4.71392568
-9.13108019 1319.7 4.71496325
-9.13108019 1325.8 4.71600082
-9.13108019 1331.8 4.71704163
-9.13108019 1337.8 4.71807917
-9.13108019 1343.8 4.71911671
-9.13108019 1349.8 4.72015425
-9.13108019 1355.9 4.72119179
